frame,time_sec,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,elbow_left_deg,elbow_right_deg
192,3.2016,3.892,60.000,138.636,136.199,121.138,114.255,30.274,30.641,18.181,23.087,58.697,70.197
193,3.2183,3.913,60.000,139.869,140.355,118.502,113.735,31.010,30.756,20.017,24.502,60.678,73.589
194,3.2349,3.906,60.000,139.788,138.193,119.345,113.206,30.445,30.113,20.363,23.704,56.638,72.545
195,3.2516,3.882,60.000,140.973,138.699,119.910,113.563,31.665,30.511,20.324,24.458,59.881,75.817
196,3.2683,3.896,60.000,141.056,140.057,118.823,113.632,31.937,30.715,20.431,25.971,63.945,80.501
197,3.2850,3.910,60.000,139.738,140.048,117.740,113.534,32.108,30.789,20.322,26.102,64.005,80.762
198,3.3016,3.923,60.000,140.546,140.284,118.103,113.557,32.239,31.113,20.545,26.416,63.392,81.560
199,3.3183,3.934,60.000,140.262,140.492,117.441,113.374,31.954,31.116,20.550,26.294,63.305,81.258
200,3.3350,3.938,60.000,140.456,140.786,117.101,113.373,31.650,31.059,20.727,26.191,62.715,80.823
201,3.3517,3.925,60.000,139.793,140.719,115.725,113.040,30.469,30.156,20.629,25.964,60.193,79.743
202,3.3683,3.903,60.000,140.835,142.617,116.356,115.514,30.347,30.359,20.551,25.630,60.535,79.055
203,3.3850,3.904,60.000,141.612,144.586,117.179,117.348,30.595,30.858,20.576,25.987,60.316,80.120
204,3.4017,3.907,60.000,141.789,143.937,117.464,117.175,30.525,30.914,20.384,25.718,61.323,79.339
205,3.4184,3.929,60.000,141.190,143.482,117.554,117.113,30.593,31.014,20.106,25.828,61.780,79.186
206,3.4350,3.951,60.000,140.558,142.273,117.944,117.027,30.428,30.868,19.670,25.579,61.151,78.379
207,3.4517,3.956,60.000,140.861,142.306,118.143,117.048,30.570,30.957,19.706,25.654,61.486,78.706
208,3.4684,3.954,60.000,141.130,142.606,118.328,117.525,30.724,31.250,19.748,25.617,61.994,79.323
209,3.4851,3.958,60.000,142.009,142.605,118.924,117.505,30.689,31.224,19.880,25.599,61.441,79.394
210,3.5017,3.957,60.000,143.126,142.725,120.054,117.634,30.858,31.273,19.932,25.625,61.706,79.683
211,3.5184,3.966,60.000,143.336,143.135,120.087,117.612,30.864,31.263,19.954,25.773,61.556,80.096
212,3.5351,3.955,60.000,142.937,142.760,119.923,117.373,30.629,31.125,19.714,25.585,60.756,79.299
213,3.5518,3.918,60.000,143.666,143.761,119.890,117.470,30.915,31.355,20.029,26.034,61.767,80.687
214,3.5684,3.894,60.000,143.478,144.314,119.175,117.306,30.886,31.345,20.170,26.109,62.186,81.031
215,3.5851,3.884,60.000,143.085,144.509,118.575,117.157,30.848,31.368,20.167,26.323,62.484,81.464
216,3.6018,3.885,60.000,145.182,147.240,118.229,117.308,31.752,32.053,21.246,27.845,65.810,86.327
217,3.6185,3.889,60.000,144.883,147.186,118.521,117.526,32.074,32.332,21.119,27.796,65.554,86.060
218,3.6351,3.886,60.000,144.848,147.090,119.038,118.091,32.688,32.904,21.261,27.594,65.520,85.527
219,3.6518,3.839,60.000,145.039,147.186,119.489,118.351,33.315,33.474,21.503,27.866,65.731,86.774
220,3.6685,3.803,60.000,145.148,148.285,119.877,119.507,33.663,33.967,21.386,27.988,65.229,86.954
221,3.6852,3.782,60.000,145.607,148.847,120.402,120.028,33.477,33.725,21.342,27.925,64.804,86.446
222,3.7018,3.771,60.000,145.646,147.666,120.757,119.611,31.926,32.365,20.872,27.306,63.055,84.016
223,3.7185,3.756,60.000,145.341,147.606,120.566,119.438,31.660,32.056,20.735,27.241,62.862,83.715
224,3.7352,3.747,60.000,145.280,146.959,121.482,119.959,31.672,32.013,20.564,27.236,61.926,83.311
225,3.7519,3.732,60.000,145.476,147.233,121.555,120.320,31.547,32.014,20.538,27.039,62.794,82.801
226,3.7685,3.709,60.000,147.497,150.899,121.973,121.365,31.636,32.281,21.168,27.089,64.626,84.340
227,3.7852,3.676,60.000,148.842,153.718,122.769,123.178,31.876,32.783,21.367,26.778,65.732,85.021
228,3.8019,3.656,60.000,149.162,153.560,122.923,123.292,31.774,32.691,21.413,26.628,65.717,84.198
229,3.8186,3.624,60.000,148.279,151.201,122.440,122.750,30.889,31.992,21.109,26.185,63.692,81.927
230,3.8352,3.614,60.000,148.385,151.080,122.529,122.685,30.985,32.042,21.116,26.290,63.961,81.966
231,3.8519,3.606,60.000,148.477,151.724,122.323,122.471,31.034,32.101,21.297,26.530,64.642,83.403
232,3.8686,3.594,60.000,147.833,150.961,122.178,122.293,31.109,32.183,21.172,26.623,64.607,82.957
233,3.8853,3.604,60.000,146.963,152.304,120.816,122.084,33.109,34.117,21.866,27.568,68.398,86.721
234,3.9019,3.594,60.000,145.758,150.876,119.419,120.875,33.051,34.142,21.921,27.674,68.679,86.490
235,3.9186,3.581,60.000,147.277,153.476,119.826,121.468,33.306,34.106,22.368,28.099,70.628,88.214
236,3.9353,3.530,60.000,148.631,156.384,120.207,123.257,33.485,34.763,22.749,28.245,72.477,89.696
237,3.9520,3.517,60.000,148.951,155.756,120.763,123.476,33.699,34.976,22.748,28.066,73.743,87.757
238,3.9686,3.557,60.000,150.536,156.362,122.724,124.379,34.499,35.407,22.935,28.319,74.567,89.121
239,3.9853,3.691,60.000,151.959,157.389,124.071,125.300,35.695,36.635,23.713,28.592,75.697,91.848
240,4.0020,3.866,60.000,157.804,167.205,123.219,125.513,38.339,39.281,27.775,31.136,82.068,97.658
241,4.0187,3.774,60.000,157.224,161.486,122.962,124.301,37.091,38.035,27.567,31.199,81.073,102.035
242,4.0353,3.706,60.000,149.308,146.536,126.604,124.288,35.409,37.628,23.774,29.750,68.038,90.033
243,4.0520,3.723,60.000,139.903,136.029,125.577,122.735,33.002,33.984,18.556,31.854,68.167,89.715
244,4.0687,3.960,60.000,141.603,140.250,124.344,121.742,32.736,33.940,20.430,29.956,69.855,89.842
245,4.0854,4.015,60.000,141.939,139.163,127.170,122.319,33.473,33.653,19.759,28.466,68.877,87.894
246,4.1020,4.166,60.000,140.227,137.852,126.814,122.068,33.795,33.600,19.688,29.785,69.543,89.588
