frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
47,0.7839000000000003,111.805,1.486,2.55,172.47386402792893,162.6795772482145,160.0,152.49662609572607,83.51064100653055,123.6163440011843,26.092,23.486,91.723,120.04,141.568,150.0,130.854,129.262,0.01,0.01
48,0.8006,112.446,1.527,2.806,172.4419005478166,163.4051706826962,160.0,154.70107019429335,81.80799488458703,118.59676823923107,25.965,22.967,91.97,117.957,142.338,150.0,128.186,142.508,0.01,0.008
49,0.8173000000000001,112.937,1.73,3.411,172.31910006714787,163.9971560019799,160.0,156.71145350459386,80.80611795390156,112.11529387789375,27.43,22.269,93.853,117.773,142.233,150.0,126.951,140.619,0.011,0.008
50,0.8340000000000003,112.788,2.114,3.384,172.0714584765875,164.42207999590454,160.0,158.22683190785767,80.39595169816997,104.74780570444773,32.213,21.044,98.186,116.967,140.44,150.0,128.314,150.171,0.012,0.008
51,0.8506000000000002,112.155,2.138,3.665,171.87283809177174,164.7562475027365,160.0,159.17946394167413,80.28699794072266,96.92825932969345,34.858,19.049,98.156,118.292,139.537,150.0,125.679,151.671,0.013,0.008
52,0.8673,113.132,2.116,3.604,171.99060909216274,165.06392512316086,160.0,159.67852927418096,80.09313102330188,89.06912007191407,34.333,18.898,99.072,116.674,138.388,150.0,114.011,153.437,0.016,0.008
53,0.8840000000000001,113.825,2.097,3.633,172.56004429024614,165.36945010265686,160.0,159.8949038078195,79.48845690328432,81.72523644116858,33.605,18.888,99.053,116.212,137.478,150.0,106.458,154.138,0.017,0.008
54,0.9007000000000003,111.912,1.908,3.498,173.49797298951592,165.6775165510241,160.0,159.9717737151274,78.42291694739406,75.50071323081163,25.349,19.288,92.175,116.026,138.882,150.0,124.964,152.465,0.01,0.007
55,0.9174,106.351,1.687,2.827,174.59639266953698,165.97739743097972,160.0,159.99388886243185,77.1992841159418,70.80156210487242,26.135,19.874,92.309,120.817,138.616,150.0,125.349,149.887,0.01,0.008
56,0.9339999999999999,107.363,1.784,3.057,175.6348472696902,166.23657486113953,160.0,159.9989767052279,76.27805725429508,67.71307193780063,24.131,21.046,89.829,120.355,138.168,150.0,127.997,149.876,0.008,0.008
