frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
62,1.0341,155.738,0.352,10.470,152.553,155.125,133.939,160.000,135.578,121.889,36.818,11.506,101.861,100.308,147.652,148.767,125.364,155.571,0.022,0.012
63,1.0508,156.947,0.587,11.719,153.242,154.387,136.474,160.000,133.765,119.803,36.165,10.882,101.679,98.574,148.616,148.625,130.299,158.369,0.021,0.012
64,1.0674,157.653,0.628,9.833,157.994,154.917,143.855,160.000,133.677,114.471,36.482,9.960,102.558,95.640,146.967,150.000,128.104,158.790,0.023,0.012
65,1.0841,158.185,0.736,10.436,158.573,155.376,146.792,160.000,125.157,111.053,39.223,10.059,105.256,96.224,143.865,147.717,125.059,159.568,0.026,0.013
66,1.1008,158.442,0.844,12.580,158.344,155.078,149.105,160.000,115.092,102.386,40.914,11.539,105.969,97.527,143.853,145.119,125.186,157.719,0.027,0.014
67,1.1175,158.816,1.149,10.900,157.598,154.755,151.126,160.000,106.307,92.844,41.960,12.432,104.855,98.598,144.172,143.233,124.819,159.206,0.028,0.015
68,1.1342,158.960,1.309,11.401,156.975,155.001,153.389,160.000,87.400,87.462,42.088,12.827,104.771,99.113,145.378,141.740,126.680,159.622,0.028,0.015
69,1.1508,158.789,1.399,14.352,156.840,154.845,155.808,160.000,84.642,87.425,42.404,12.920,103.903,99.947,146.395,138.551,126.749,161.055,0.029,0.015
70,1.1675,158.614,1.333,14.266,157.312,154.963,157.841,160.000,77.458,86.823,42.651,12.939,103.369,100.508,146.608,137.688,126.390,164.251,0.030,0.014
71,1.1842,158.859,1.345,11.998,157.956,154.841,160.000,160.000,73.237,87.312,43.008,13.655,103.385,100.548,146.892,137.287,127.210,167.361,0.029,0.014
72,1.2009,158.567,1.349,8.398,158.647,156.040,160.000,160.000,65.333,87.478,42.028,16.774,103.658,102.665,149.058,131.935,129.330,164.236,0.030,0.015
73,1.2176,158.625,1.547,2.134,159.767,155.717,160.000,160.000,63.445,88.210,41.174,19.861,103.042,104.766,150.000,128.673,131.840,153.560,0.029,0.014
74,1.2342,159.293,1.863,20.616,161.155,155.005,160.000,160.000,59.757,85.873,39.402,20.825,101.457,105.440,150.000,128.782,131.115,144.003,0.030,0.013
